"","Number","Structure","Immediate.parent","Immediate.child.children"
"69",69,"PCC_L_1","Cingulate_L_2",NA
"70",70,"PCC_R_1","Cingulate_R_2",NA
"71",71,"Insula_L_1","Insula_L_2",NA
"72",72,"Insula_R_1","Insula_R_2",NA
"73",73,"Amyg_L_1","Amyg_L_2",NA
"74",74,"Amyg_R_1","Amyg_R_2",NA
"75",75,"Hippo_L_1","Hippo_L_2",NA
"76",76,"Hippo_R_1","Hippo_R_2",NA
"77",77,"Caud_L_1","Caud_L_2",NA
"78",78,"Caud_R_1","Caud_R_2",NA
"79",79,"Put_L_1","Put_L_2",NA
"80",80,"Put_R_1","Put_R_2",NA
"81",81,"GP_L_1","GP_L_2",NA
"82",82,"GP_R_1","GP_R_2",NA
"83",83,"Thalamus_L_1","Thalamus_L_2",NA
"84",84,"Thalamus_R_1","Thalamus_R_2",NA
"85",85,"HypoThalamus_L_1","BasalForebrain_L_2",NA
"86",86,"HypoThalamus_R_1","BasalForebrain_R_2",NA
"87",87,"BasalForebrain_L_1","BasalForebrain_L_2",NA
"88",88,"BasalForebrain_R_1","BasalForebrain_R_2",NA
"89",89,"NucAccumbens_L_1","BasalForebrain_L_2",NA
"90",90,"NucAccumbens_R_1","BasalForebrain_R_2",NA
"91",91,"RedNc_L_1","midbrain_L_2",NA
"92",92,"RedNc_R_1","midbrain_R_2",NA
"93",93,"Snigra_L_1","midbrain_L_2",NA
"94",94,"Snigra_R_1","midbrain_R_2",NA
"95",95,"CerebellumGM_R_1","Cerebellum_R_2",NA
"96",96,"CerebellumGM_L_1","Cerebellum_L_2",NA
"97",97,"CP_L_1","midbrain_L_2",NA
"98",98,"CP_R_1","midbrain_R_2",NA
"99",99,"Midbrain_L_1","midbrain_L_2",NA
"100",100,"Midbrain_R_1","midbrain_R_2",NA
"101",101,"CST_L_1","Pons_L_2",NA
"102",102,"CST_R_1","Pons_R_2",NA
"103",103,"SCP_L_1","Pons_L_2",NA
"104",104,"SCP_R_1","Pons_R_2",NA
"105",105,"MCP_L_1","Pons_L_2",NA
"106",106,"MCP_R_1","Pons_R_2",NA
"107",107,"PCT_L_1","Pons_L_2",NA
"108",108,"PCT_R_1","Pons_R_2",NA
"109",109,"ICP_L_1","Medulla_L_2",NA
"110",110,"ICP_R_1","Medulla_R_2",NA
"111",111,"ML_L_1","Pons_L_2",NA
"112",112,"ML_R_1","Pons_R_2",NA
"113",113,"Pons_L_1","Pons_L_2",NA
"114",114,"Pons_R_1","Pons_R_2",NA
"115",115,"Medulla_L_1","Medulla_L_2",NA
"116",116,"Medulla_R_1","Medulla_R_2",NA
"117",117,"ACR_L_1","ant_DPWM_L_2",NA
"118",118,"ACR_R_1","ant_DPWM_R_2",NA
"119",119,"SCR_L_1","ant_DPWM_L_2",NA
"120",120,"SCR_R_1","ant_DPWM_R_2",NA
"121",121,"PCR_L_1","post_DPWM_L_2",NA
"122",122,"PCR_R_1","post_DPWM_R_2",NA
"123",123,"GCC_L_1","GCC_L_2",NA
"124",124,"GCC_R_1","GCC_R_2",NA
"125",125,"BCC_L_1","BCC_L_2",NA
"126",126,"BCC_R_1","BCC_R_2",NA
"127",127,"SCC_L_1","SCC_L_2",NA
"128",128,"SCC_R_1","SCC_R_2",NA
"129",129,"PVWl_L_1","PVA_posterior_L_2_i",NA
"130",130,"PVWl_R_1","PVA_posterior_R_2_i",NA
"131",131,"ALIC_L_1","ALIC_L_2",NA
"132",132,"ALIC_R_1","ALIC_R_2",NA
"133",133,"PLIC_L_1","PLIC_L_2",NA
"134",134,"PLIC_R_1","PLIC_R_2",NA
"135",135,"RLIC_L_1","inf_DPWM_L_2",NA
"136",136,"RLIC_R_1","inf_DPWM_R_2",NA
"137",137,"EC_L_1","inf_DPWM_L_2",NA
"138",138,"EC_R_1","inf_DPWM_R_2",NA
"139",139,"CGC_L_1","CGC_L_2",NA
"140",140,"CGC_R_1","CGC_R_2",NA
"141",141,"CGH_L_1","CGH_L_2",NA
"142",142,"CGH_R_1","CGH_R_2",NA
"143",143,"Fx/ST_L_1","Fx/ST_L_2",NA
"144",144,"Fx/ST_R_1","Fx/ST_R_2",NA
"145",145,"Fx_L_1","Fx_L_2",NA
"146",146,"Fx_R_1","Fx_R_2",NA
"147",147,"IFO_L_1","inf_DPWM_L_2",NA
"148",148,"IFO_R_1","inf_DPWM_R_2",NA
"149",149,"PTR_L_1","inf_DPWM_L_2",NA
"150",150,"PTR_R_1","inf_DPWM_R_2",NA
"151",151,"SS_L_1","inf_DPWM_L_2",NA
"152",152,"SS_R_1","inf_DPWM_R_2",NA
"153",153,"SFO_L_1","ant_DPWM_L_2",NA
"154",154,"SFO_R_1","ant_DPWM_R_2",NA
"155",155,"SLF_L_1","PeripheralParietalWM_L_2",NA
"156",156,"SLF_R_1","PeripheralParietalWM_R_2",NA
"157",157,"Cl_L_1","BasalForebrain_L_2",NA
"158",158,"Cl_R_1","BasalForebrain_R_2",NA
"159",159,"BasalForebrain_L_1","BasalForebrain_L_2",NA
"160",160,"BasalForebrain_R_1","BasalForebrain_R_2",NA
"161",161,"BasalForebrain_L_1","BasalForebrain_L_2",NA
"162",162,"BasalForebrain_R_1","BasalForebrain_R_2",NA
"163",163,"BasalForebrain_L_1","BasalForebrain_L_2",NA
"164",164,"BasalForebrain_R_1","BasalForebrain_R_2",NA
"165",165,"BasalForebrain_L_1","BasalForebrain_L_2",NA
"166",166,"BasalForebrain_R_1","BasalForebrain_R_2",NA
"167",167,"Mammillary_R_1","BasalForebrain_R_2",NA
"168",168,"Mammillary_L_1","BasalForebrain_L_2",NA
"169",169,"OpticTract_L_1","Everything",NA
"170",170,"OpticTract_R_1","Everything",NA
"171",171,"LV_Frontal_L_1","AnteriorLateralVentricle_L_2",NA
"172",172,"LV_body_L_1","AnteriorLateralVentricle_L_2",NA
"173",173,"LV_atrium_L_1","PosteriorLateralVentricle_L_2",NA
"174",174,"LV_Occipital_L_1","PosteriorLateralVentricle_L_2",NA
"175",175,"LV_Inferior_L_1","InferiorLateralVentricle_L_2",NA
"176",176,"LV_Frontal_R_1","AnteriorLateralVentricle_L_2",NA
"177",177,"LV_body_R_1","AnteriorLateralVentricle_R_2",NA
"178",178,"LV_atrium_R_1","PosteriorLateralVentricle_R_2",NA
"179",179,"LV_Occipital_R_1","PosteriorLateralVentricle_R_2",NA
"180",180,"LV_Inferior_R_1","InferiorLateralVentricle_R_2",NA
"181",181,"III_ventricle_1","III_ventricle_2",NA
"182",182,"PVWa_L_1","PVA_anterior_L_2",NA
"183",183,"PVWa_R_1","PVA_anterior_R_2",NA
"184",184,"PVWp_L_1","PVA_posterior_L_2_ii",NA
"185",185,"PVWp_R_1","PVA_posterior_R_2_ii",NA
"186",186,"SFWM_L_1","PeripheralFrontalWM_L_2",NA
"187",187,"SFWM_R_1","PeripheralFrontalWM_R_2",NA
"188",188,"SFWM_PFC_L_1","PeripheralFrontalWM_L_2",NA
"189",189,"SFWM_PFC_R_1","PeripheralFrontalWM_R_2",NA
"190",190,"SFWM_pole_L_1","PeripheralFrontalWM_L_2",NA
"191",191,"SFWM_pole_R_1","PeripheralFrontalWM_R_2",NA
"192",192,"MFWM_L_1","PeripheralFrontalWM_L_2",NA
"193",193,"MFWM_R_1","PeripheralFrontalWM_R_2",NA
"194",194,"MFWM_DPFC_L_1","PeripheralFrontalWM_L_2",NA
"195",195,"MFWM_DPFC_R_1","PeripheralFrontalWM_R_2",NA
"196",196,"IFWM_opercularis_L_1","PeripheralFrontalWM_L_2",NA
"197",197,"IFWM_opercularis_R_1","PeripheralFrontalWM_R_2",NA
"198",198,"IFWM_orbitalis_L_1","PeripheralFrontalWM_L_2",NA
"199",199,"IFWM_orbitalis_R_1","PeripheralFrontalWM_R_2",NA
"200",200,"IFWM_triangularis_L_1","PeripheralFrontalWM_L_2",NA
"201",201,"IFWM_triangularis_R_1","PeripheralFrontalWM_R_2",NA
"202",202,"LFOWM_L_1","PeripheralFrontalWM_L_2",NA
"203",203,"LFOWM_R_1","PeripheralFrontalWM_R_2",NA
"204",204,"MFOWM_L_1","PeripheralFrontalWM_L_2",NA
"205",205,"MFOWM_R_1","PeripheralFrontalWM_R_2",NA
"206",206,"RGWM_L_1","PeripheralFrontalWM_L_2",NA
"207",207,"RGWM_R_1","PeripheralFrontalWM_R_2",NA
"208",208,"PoCWM_L_1","PeripheralParietalWM_L_2",NA
"209",209,"PoCWM_R_1","PeripheralParietalWM_R_2",NA
"210",210,"PrCWM_L_1","PeripheralFrontalWM_L_2",NA
"211",211,"PrCWM_R_1","PeripheralFrontalWM_R_2",NA
"212",212,"SPWM_L_1","PeripheralParietalWM_L_2",NA
"213",213,"SPWM_R_1","PeripheralParietalWM_R_2",NA
"214",214,"SMWM_L_1","PeripheralParietalWM_L_2",NA
"215",215,"SMWM_R_1","PeripheralParietalWM_R_2",NA
"216",216,"AGWM_L_1","PeripheralParietalWM_L_2",NA
"217",217,"AGWM_R_1","PeripheralParietalWM_R_2",NA
"218",218,"PrCuWM_L_1","PeripheralParietalWM_L_2",NA
"219",219,"PrCuWM_R_1","PeripheralParietalWM_R_2",NA
"220",220,"STWM_L_1","PeripheralTemporalWM_L_2",NA
"221",221,"STWM_R_1","PeripheralTemporalWM_R_2",NA
"222",222,"STWM_L_pole_1","PeripheralTemporalWM_L_2",NA
"223",223,"STWM_R_pole_1","PeripheralTemporalWM_R_2",NA
"224",224,"MTWM_L_1","PeripheralTemporalWM_L_2",NA
"225",225,"MTWM_R_1","PeripheralTemporalWM_R_2",NA
"226",226,"MTWM_L_pole_1","PeripheralTemporalWM_L_2",NA
"227",227,"MTWM_R_pole_1","PeripheralTemporalWM_R_2",NA
"228",228,"ITWM_L_1","PeripheralTemporalWM_L_2",NA
"229",229,"ITWM_R_1","PeripheralTemporalWM_R_2",NA
"230",230,"FuWM_L_1","PeripheralTemporalWM_L_2",NA
"231",231,"FuWM_R_1","PeripheralTemporalWM_R_2",NA
"232",232,"SOWM_L_1","PeripheralOccipitalWM_L_2",NA
"233",233,"SOWM_R_1","PeripheralOccipitalWM_R_2",NA
"234",234,"MOWM_L_1","PeripheralOccipitalWM_L_2",NA
"235",235,"MOWM_R_1","PeripheralOccipitalWM_R_2",NA
"236",236,"IOWM_L_1","PeripheralOccipitalWM_L_2",NA
"237",237,"IOWM_R_1","PeripheralOccipitalWM_R_2",NA
"238",238,"CuWM_L_1","PeripheralOccipitalWM_L_2",NA
"239",239,"CuWM_R_1","PeripheralOccipitalWM_R_2",NA
"240",240,"LWM_L_1","PeripheralOccipitalWM_L_2",NA
"241",241,"LWM_R_1","PeripheralOccipitalWM_R_2",NA
"242",242,"rostralWM_ACC_L_1","PeripheralCingulateWM_L_2",NA
"243",243,"rostralWM_ACC_R_1","PeripheralCingulateWM_R_2",NA
"244",244,"subcallosalWM_ACC_L_1","PeripheralCingulateWM_L_2",NA
"245",245,"subcallosalWM_ACC_R_1","PeripheralCingulateWM_R_2",NA
"246",246,"subgenualWM_ACC_L_1","PeripheralCingulateWM_L_2",NA
"247",247,"subgenualWM_ACC_R_1","PeripheralCingulateWM_R_2",NA
"248",248,"dorsalWM_ACC_L_1","PeripheralCingulateWM_L_2",NA
"249",249,"dorsalWM_ACC_R_1","PeripheralCingulateWM_R_2",NA
"250",250,"PCCWM_L_1","PeripheralCingulateWM_L_2",NA
"251",251,"PCCWM_R_1","PeripheralCingulateWM_R_2",NA
"252",252,"CerebellumWM_R_1","CerebellumWM_R_2",NA
"253",253,"CerebellumWM_L_1","CerebellumWM_L_2",NA
"254",254,"CSF_1","Everything",NA
"255",255,"SKULL1_1","Everything",NA
"256",256,"SKULL2_1","Everything",NA
"257",257,"SKULL3_1","Everything",NA
"258",258,"MCP_cb_L_1","Everything",NA
"259",259,"MCP_cb_R_1","CerebellumWM_R_2",NA
"260",260,"Bone marrow_1","Everything",NA
"261",261,"ICP_pons_L_1","Pons_L_2",NA
"262",262,"ICP_pons_R_1","Pons_R_2",NA
"263",263,"FrontSul_L_1","FrontSul_L_2",NA
"264",264,"FrontSul_R_1","FrontSul_R_2",NA
"265",265,"CentralSul_L_1","CentralSul_L_2",NA
"266",266,"CentralSul_R_1","CentralSul_R_2",NA
"267",267,"SylFrontSul_L_1","SylFrontSul_L_2",NA
"268",268,"SylFrontSul_R_1","SylFrontSul_R_2",NA
"269",269,"SylTempSul_L_1","SylTempSul_L_2",NA
"270",270,"SylTempSul_R_1","SylTempSul_R_2",NA
"271",271,"SylParieSul_L_1","SylParieSul_L_2",NA
"272",272,"SylParieSul_R_1","SylParieSul_R_2",NA
"273",273,"ParietSul_L_1","ParietSul_L_2",NA
"274",274,"ParietSul_R_1","ParietSul_R_2",NA
"275",275,"CinguSul_L_1","CinguSul_L_2",NA
"276",276,"CinguSul_R_1","CinguSul_R_2",NA
"277",277,"OcciptSul_L_1","OcciptSul_L_2",NA
"278",278,"OcciptSul_R_1","OcciptSul_R_2",NA
"279",279,"TempSul_L_1","TempSul_L_2",NA
"280",280,"TempSul_R_1","TempSul_R_2",NA
"281",281,"Caudate_tail_L_1","Caudate_tail_L_2",NA
"282",282,"Fimbria_L_1","Hippo_L_2",NA
"283",283,"Caudate_tail_R_1","Caudate_tail_R_2",NA
"284",284,"Fimbria_R_1","Hippo_R_2",NA
"285",285,"Chroid_LVetc_L_1","AnteriorLateralVentricle_L_2",NA
"286",286,"Chroid_LVetc_R_1","AnteriorLateralVentricle_R_2",NA
"287",287,"IV_ventricle_1","IV_ventricle_2",NA
"288",288,"ECCL_L_1","inf_DPWM_L_2",NA
"289",289,"ECCL_R_1","inf_DPWM_R_2",NA
"290",290,"SFG_L_2","Frontal_L_3","SFG_L_1, SFG_PFC_L_1, SFG_pole_L_1"
"291",291,"SFG_R_2","Frontal_R_3","SFG_R_1, SFG_PFC_R_1, SFG_pole_R_1"
"292",292,"MFG_L_2","Frontal_L_3","MFG_L_1, MFG_DPFC_L_1"
"293",293,"MFG_R_2","Frontal_R_3","MFG_R_1, MFG_DPFC_R_1"
"294",294,"IFG_L_2","Frontal_L_3","IFG_opercularis_L_1, IFG_orbitalis_L_1, IFG_triangularis_L_1"
"295",295,"IFG_R_2","Frontal_R_3","IFG_opercularis_R_1, IFG_orbitalis_R_1, IFG_triangularis_R_1"
"296",296,"OG_L_2","Frontal_L_3","LFOG_L_1, MFOG_L_1"
"297",297,"OG_R_2","Frontal_R_3","LFOG_R_1, MFOG_R_1"
"298",298,"RG_L_2","Frontal_L_3","RG_L_1"
"299",299,"RG_R_2","Frontal_R_3","RG_R_1"
"300",300,"PoCG_L_2","Parietal_L_3","PoCG_L_1"
"301",301,"PoCG_R_2","Parietal_R_3","PoCG_R_1"
"302",302,"PrCG_L_2","Frontal_L_3","PrCG_L_1"
"303",303,"PrCG_R_2","Frontal_R_3","PrCG_R_1"
"304",304,"SPG_L_2","Parietal_L_3","SPG_L_1"
"305",305,"SPG_R_2","Parietal_R_3","SPG_R_1"
"306",306,"SMG_L_2","Parietal_L_3","SMG_L_1"
"307",307,"SMG_R_2","Parietal_R_3","SMG_R_1"
"308",308,"AG_L_2","Parietal_L_3","AG_L_1"
"309",309,"AG_R_2","Parietal_R_3","AG_R_1"
"310",310,"PrCu_L_2","Parietal_L_3","PrCu_L_1"
"311",311,"PrCu_R_2","Parietal_R_3","PrCu_R_1"
"312",312,"STG_L_2","Temporal_L_3","STG_L_1, STG_L_pole_1"
"313",313,"STG_R_2","Temporal_R_3","STG_R_1, STG_R_pole_1"
"314",314,"MTG_L_2","Temporal_L_3","MTG_L_1, MTG_L_pole_1"
"315",315,"MTG_R_2","Temporal_R_3","MTG_R_1, MTG_R_pole_1"
"316",316,"ITG_L_2","Temporal_L_3","ITG_L_1"
"317",317,"ITG_R_2","Temporal_R_3","ITG_R_1"
"318",318,"Limbic_L_2","Limbic_L_3","PHG_L_1, ENT_L_1"
"319",319,"Limbic_R_2","Limbic_R_3","PHG_R_1, ENT_R_1"
"320",320,"FuG_L_2","Temporal_L_3","FuG_L_1"
"321",321,"FuG_R_2","Temporal_R_3","FuG_R_1"
"322",322,"SOG_L_2","Occipital_L_3","SOG_L_1"
"323",323,"SOG_R_2","Occipital_R_3","SOG_R_1"
"324",324,"MOG_L_2","Occipital_L_3","MOG_L_1"
"325",325,"MOG_R_2","Occipital_R_3","MOG_R_1"
"326",326,"IOG_L_2","Occipital_L_3","IOG_L_1"
"327",327,"IOG_R_2","Occipital_R_3","IOG_R_1"
"328",328,"Cu_L_2","Occipital_L_3","Cu_L_1"
"329",329,"Cu_R_2","Occipital_R_3","Cu_R_1"
"330",330,"LG_L_2","Occipital_L_3","LG_L_1"
"331",331,"LG_R_2","Occipital_R_3","LG_R_1"
"332",332,"Cingulate_L_2","Limbic_L_3","rostral_ACC_L_1, subcallosal_ACC_L_1, subgenual_ACC_L_1, dorsal_ACC_L_1, PCC_L_1"
"333",333,"Cingulate_R_2","Limbic_R_3","rostral_ACC_R_1, subcallosal_ACC_R_1, subgenual_ACC_R_1, dorsal_ACC_R_1, PCC_R_1"
"334",334,"Insula_L_2","Insula_L_3","Insula_L_1"
"335",335,"Insula_R_2","Insula_R_3","Insula_R_1"
"336",336,"Amyg_L_2","Limbic_L_3","Amyg_L_1"
"337",337,"Amyg_R_2","Limbic_R_3","Amyg_R_1"
"338",338,"Hippo_L_2","Limbic_L_3","Hippo_L_1, Fimbria_L_1"
"339",339,"Hippo_R_2","Limbic_R_3","Hippo_R_1, Fimbria_R_1"
"340",340,"Caud_L_2","BasalGang_L_3","Caud_L_1"
"341",341,"Caud_R_2","BasalGang_R_3","Caud_R_1"
"342",342,"Put_L_2","BasalGang_L_3","Put_L_1"
"343",343,"Put_R_2","BasalGang_R_3","Put_R_1"
"344",344,"GP_L_2","BasalGang_L_3","GP_L_1"
"345",345,"GP_R_2","BasalGang_R_3","GP_R_1"
"346",346,"Thalamus_L_2","Thalamus_L_3","Thalamus_L_1"
"347",347,"Thalamus_R_2","Thalamus_R_3","Thalamus_R_1"
"348",348,"BasalForebrain_L_2","BasalForebrain_L_3","HypoThalamus_L_1, BasalForebrain_L_1, NucAccumbens_L_1, Cl_L_1, BasalForebrain_L_1, Mammillary_L_1"
"349",349,"BasalForebrain_R_2","BasalForebrain_R_3","HypoThalamus_R_1, BasalForebrain_R_1, NucAccumbens_R_1, Cl_R_1, BasalForebrain_R_1, Mammillary_R_1"
"350",350,"midbrain_L_2","midbrain_L_3","RedNc_L_1, Snigra_L_1, CP_L_1, Midbrain_L_1"
"351",351,"midbrain_R_2","midbrain_R_3","RedNc_R_1, Snigra_R_1, CP_R_1, Midbrain_R_1"
"352",352,"Pons_L_2","Pons_L_3","CST_L_1, SCP_L_1, MCP_L_1, PCT_L_1, ML_L_1, Pons_L_1, ICP_pons_L_1"
"353",353,"Pons_R_2","Pons_R_3","CST_R_1, SCP_R_1, MCP_R_1, PCT_R_1, ML_R_1, Pons_R_1, ICP_pons_R_1"
"354",354,"Medulla_L_2","Medulla_L_3","ICP_L_1, Medulla_L_1"
"355",355,"Medulla_R_2","Medulla_R_3","ICP_R_1, Medulla_R_1"
"356",356,"ant_DPWM_L_2","AnteriorWM_L_3","ACR_L_1, SCR_L_1, SFO_L_1"
"357",357,"ant_DPWM_R_2","AnteriorWM_R_3","ACR_R_1, SCR_R_1, SFO_R_1"
"358",358,"post_DPWM_L_2","PosteriorWM_L_3","PCR_L_1"
"359",359,"post_DPWM_R_2","PosteriorWM_R_3","PCR_R_1"
"360",360,"GCC_L_2","CorpusCallosum_L_3","GCC_L_1"
"361",361,"GCC_R_2","CorpusCallosum_R_3","GCC_R_1"
"362",362,"BCC_L_2","CorpusCallosum_L_3","BCC_L_1"
"363",363,"BCC_R_2","CorpusCallosum_R_3","BCC_R_1"
"364",364,"SCC_L_2","CorpusCallosum_L_3","SCC_L_1"
"365",365,"SCC_R_2","CorpusCallosum_R_3","SCC_R_1"
"366",366,"PVA_posterior_L_2_i","InferiorWM_L_3","PVWl_L_1, PVWp_L_1"
"367",367,"PVA_posterior_R_2_i","InferiorWM_R_3","PVWl_R_1, PVWp_R_1"
"368",368,"ALIC_L_2","InferiorWM_L_3","ALIC_L_1"
"369",369,"ALIC_R_2","InferiorWM_R_3","ALIC_R_1"
"370",370,"PLIC_L_2","InferiorWM_L_3","PLIC_L_1"
"371",371,"PLIC_R_2","InferiorWM_R_3","PLIC_R_1"
"372",372,"inf_DPWM_L_2","InferiorWM_L_3","RLIC_L_1, EC_L_1, IFO_L_1, PTR_L_1, SS_L_1, ECCL_L_1"
"373",373,"inf_DPWM_R_2","InferiorWM_R_3","RLIC_R_1, EC_R_1, IFO_R_1, PTR_R_1, SS_R_1, ECCL_R_1"
"374",374,"CGC_L_2","LimbicWM_L_3","CGC_L_1"
"375",375,"CGC_R_2","LimbicWM_R_3","CGC_R_1"
"376",376,"CGH_L_2","LimbicWM_L_3","CGH_L_1"
"377",377,"CGH_R_2","LimbicWM_R_3","CGH_R_1"
"378",378,"Fx/ST_L_2","LimbicWM_L_3","Fx/ST_L_1"
"379",379,"Fx/ST_R_2","LimbicWM_R_3","Fx/ST_R_1"
"380",380,"Fx_L_2","LimbicWM_L_3","Fx_L_1"
"381",381,"Fx_R_2","LimbicWM_R_3","Fx_R_1"
"382",382,"PeripheralParietalWM_L_2","PosteriorWM_L_3","SLF_L_1, PoCWM_L_1, SPWM_L_1, SMWM_L_1, AGWM_L_1, PrCuWM_L_1"
"383",383,"PeripheralParietalWM_R_2","PosteriorWM_R_3","SLF_R_1, PoCWM_R_1, SPWM_R_1, SMWM_R_1, AGWM_R_1, PrCuWM_R_1"
"384",384,"AnteriorLateralVentricle_L_2","LateralVentricle_L_3","LV_Frontal_L_1, LV_body_L_1, LV_Frontal_R_1, Chroid_LVetc_L_1"
"385",385,"AnteriorLateralVentricle_R_2","LateralVentricle_R_3","LV_body_R_1, Chroid_LVetc_R_1"
"386",386,"PosteriorLateralVentricle_L_2","LateralVentricle_L_3","LV_atrium_L_1, LV_Occipital_L_1"
"387",387,"PosteriorLateralVentricle_R_2","LateralVentricle_R_3","LV_atrium_R_1, LV_Occipital_R_1"
"388",388,"InferiorLateralVentricle_L_2","LateralVentricle_L_3","LV_Inferior_L_1"
"389",389,"InferiorLateralVentricle_R_2","LateralVentricle_R_3","LV_Inferior_R_1"
"390",390,"III_ventricle_2","III_ventricle_3","III_ventricle_1"
"391",391,"PVA_anterior_L_2","AnteriorWM_L_3","PVWa_L_1"
"392",392,"PVA_anterior_R_2","AnteriorWM_R_3","PVWa_R_1"
"393",393,"PVA_posterior_L_2_ii","PosteriorWM_L_3","PVWp_L_1"
"394",394,"PVA_posterior_R_2_ii","PosteriorWM_R_3","PVWp_R_1"
"395",395,"PeripheralFrontalWM_L_2","AnteriorWM_L_3","SFWM_L_1, SFWM_PFC_L_1, SFWM_pole_L_1, MFWM_L_1, MFWM_DPFC_L_1, IFWM_opercularis_L_1, IFWM_orbitalis_L_1, IFWM_triangularis_L_1, LFOWM_L_1, MFOWM_L_1, RGWM_L_1, PoCWM_L_1, PrCWM_L_1"
"396",396,"PeripheralFrontalWM_R_2","AnteriorWM_R_3","SFWM_R_1, SFWM_PFC_R_1, SFWM_pole_R_1, MFWM_R_1, MFWM_DPFC_R_1, IFWM_opercularis_R_1, IFWM_orbitalis_R_1, IFWM_triangularis_R_1, LFOWM_R_1, MFOWM_R_1, RGWM_R_1, PoCWM_R_1, PrCWM_R_1"
"397",397,"PeripheralTemporalWM_L_2","InferiorWM_L_3","STWM_L_1, STWM_L_pole_1, MTWM_L_1, MTWM_L_pole_1, ITWM_L_1, FuWM_L_1"
"398",398,"PeripheralTemporalWM_R_2","InferiorWM_R_3","STWM_R_1, STWM_R_pole_1, MTWM_R_1, MTWM_R_pole_1, ITWM_R_1, FuWM_R_1"
"399",399,"PeripheralOccipitalWM_L_2","PosteriorWM_L_3","SOWM_L_1, MOWM_L_1, IOWM_L_1, CuWM_L_1, LWM_L_1"
